Lf.-Nr.               , Reg.-Pos.             , ab                    , bis                   , Produktbezeichnung           , Hersteller                                                                          , Land    , Typ    , n     , Bemerkungen
118                   , 42.1                  , 2005                  , dato                  , IRO 500 B                    , IRO S.p.A.                                                                          , I       , T      , 0     , 
119                   , 43.1                  , 2006                  , dato                  , PDRU 500                     , Ruwa Drahtschweisswerk AG                                                           , CH      , KR     , 0     , ab 2010 neues  Walzkennzeichen mit Zwischenrippen
120                   , 44.1                  , 2007                  , 2012                  , VSLS670                      , Annahütte Max Aicher GmbH                                                           , D       , T      , 0     , 
121                   , 44.1                  , 2013                  , dato                  , VAS 670                      , Annahütte Max Aicher GmbH                                                           , D       , T      , 0     , 
122                   , 45.1                  , 2007                  , dato                  , ESF 500 S                    , Elbe-Stahlwerk  Feralpi GmbH                                                        , D       , T      , 0     , "Stäbe Ø8  und Ø10: 4 Rippen, keine Zwischenrippen; Stäbe >Ø10: 2 Rippen mit  Zwischenrippen"
123                   , 45.2                  , 2007                  , dato                  , ESF 500 WR                   , Elbe-Stahlwerk Feralpi GmbH                                                         , D       , WR     , 0     , 
124                   , 46.1                  , 2008                  , 2012                  , AMS 500 B                    , Arcelor Mittal STFS                                                                 , L       , WR     , 0     , 
125                   , 47.1                  , 2009                  , 2010                  , Ductilcelsa 450C             , "CELSA, Castellbisbal"                                                              , E       , T      , 0     , 
126                   , 47.1                  , 2010                  , dato                  , Ductilcelsa 500C             , "CELSA, Castellbisbal"                                                              , E       , T      , 0     , 
127                   , 47.2                  , 2009                  , 2010                  , Celsamax 450C                , "CELSA, Castellbisbal"                                                              , E       , T      , 0     , 
128                   , 47.2                  , 2010                  , dato                  , Celsamax 500C                , "CELSA, Castellbisbal"                                                              , E       , T      , 0     , 
129                   , 47.3                  , 2011                  , dato                  , Celsa 500 B                  , "CELSA, Castellbisbal"                                                              , E       , T      , 0     , 
130                   , 47.4                  , 2011                  , dato                  , Celsamax 500 B               , "CELSA, Castellbisbal"                                                              , E       , T / TR , 0     , 
131                   , 48.1                  , 2012                  , dato                  , Atlas B500 B                 , Stefana S.p.A.                                                                      , I       , T      , 0     , 
132                   , 48.2                  , 2013                  , dato                  , Atlas R                      , Stefana S.p.A.                                                                      , I       , TR     , 0     , 
133                   , 49.1                  , 2012                  , dato                  , UNIFER CH 500 A              , Unifer S.p.A.                                                                       , I       , KR     , 0     , 
134                   , 50.1                  , 2013                  , dato                  , WADRA 500                    , Van Merksteijn  International                                                       , NL      , WR     , 0     , 
135                   , 51.1                  , 2014                  , dato                  , AMTB 500                     , ArcelorMittal Ostrava a.s.                                                          , CZ      , T      , 0     , 
